UC	画面	アクター	画面要求
介護会員情報を受け付ける	介護会員受付画面	スケジュール計画担当者	スケジュール計画に必要な介護会員情報を入力・確認できる
介護会員情報を登録する	介護会員登録画面	介護会員管理担当者	受け付けた介護会員情報を確認して正確性を検証した上でシステムに登録できる
介護会員情報を更新する	介護会員情報管理画面	介護会員管理担当者	登録済みの介護会員情報を検索・表示し、必要な項目を編集・更新でき、変更履歴を管理できる
サービス利用を開始する	サービス利用開始画面	介護会員管理担当者	情報確認済みの介護会員を検索し、サービス開始の手続きと状態遷移を実行できる
サービス利用を休止する	サービス利用休止画面	介護会員管理担当者	サービス利用中の介護会員を検索し、休止理由や期間を記録して手続きできる
サービス利用を再開する	サービス利用再開画面	介護会員管理担当者	サービス休止中の介護会員を検索し、再開の手続きと状態遷移を実行できる
サービス終了を処理する	サービス終了画面	介護会員管理担当者	サービス利用中の介護会員を検索し、終了理由を記録して最終処理を実行できる
スタッフ基本情報を提供する	スタッフ情報参照画面	スケジュール計画担当者	スケジュール計画に必要なスタッフの基本情報を検索・参照できる
スタッフ基本情報を登録する	スタッフ登録画面	スタッフ管理担当者	提供されたスタッフ基本情報を入力・確認してシステムに登録できる
スタッフ基本情報を管理する	スタッフ情報管理画面	スタッフ管理担当者	登録済みのスタッフ基本情報を検索・表示し、必要な項目を編集・更新でき、変更履歴を管理できる
スタッフスキル情報を入力する	スキル入力画面	サービススタッフ	自身のスキル情報を詳細に入力・登録でき、複数のスキルを管理できる
スタッフスキル情報を確認する	スキル確認画面	スタッフ管理担当者	スタッフが入力したスキル情報を検索・表示して詳細を確認できる
スタッフスキル情報を認定する	スキル認定画面	スタッフ管理担当者	確認済みのスキル情報に対して認定判定を実行し、認定結果を記録できる
スタッフ働き方希望を設定する	働き方設定画面	サービススタッフ	柔軟な働き方希望を詳細に設定・入力でき、複数の条件を組み合わせて管理できる
スタッフ働き方を審査する	働き方審査画面	スタッフ管理担当者	設定された働き方希望の実現可能性を判定し、審査結果を記録できる
スタッフ働き方を承認する	働き方承認画面	スタッフ管理担当者	審査済みの働き方を確認して最終承認判定を実行し、スタッフへの通知内容を決定できる
スタッフ働き方を実行する	働き方実行管理画面	スタッフ管理担当者	承認された働き方の実運用を管理し、実施状況を記録・確認でき、問題対応ができる
スケジュール要望を確認する	スケジュール要望確認画面	スケジュール計画担当者	介護会員のスケジュール要望を検索・表示して詳細を確認できる
スケジュールを計画する	スケジュール計画画面	スケジュール計画担当者	介護会員の要望とスタッフのスキル・働き方を考慮した計画案を作成・編集でき、複数案を比較検討できる
スケジュールを確定する	スケジュール確定画面	スケジュール計画担当者	計画されたスケジュールを確認して確定判定を実行し、確定内容をスタッフに通知できる
スケジュール変更要望を受け付ける	スケジュール変更要望受付画面	スケジュール計画担当者	介護会員からのスケジュール変更要望を受け付け、変更内容を詳細に記録できる
スケジュールを調整する	スケジュール調整画面	スケジュール計画担当者	確定したスケジュールを確認し、変更要望に基づいて調整でき、調整内容を確認できる
スケジュール調整困難時の対応を行う	スケジュール調整対応協議画面	スケジュール計画担当者	調整困難な状況を記録し、介護会員への説明内容を作成して対応方法を協議できる
スタッフを確定する	スタッフ確定画面	スケジュール計画担当者	計画されたスケジュールを確認し、適切なスタッフを選択・確定でき、確定内容を確認できる
スタッフが移動する	移動状況報告画面	サービススタッフ	訪問予定時間に向けて移動中であることを報告・更新でき、現在地情報を管理できる
訪問介護サービスを実施する	訪問介護実施画面	サービススタッフ	計画されたスケジュールを確認し、サービス実施内容をリアルタイムで記録・更新できる
実施記録を作成する	実施記録作成画面	サービススタッフ	訪問介護の実施内容・時間・対応内容を詳細に記録でき、複数項目を入力・修正できる
実施記録をシステムに登録する	実施記録登録画面	事務担当者	サービススタッフが作成した実施記録を確認・検証してシステムに登録でき、登録状況を管理できる
実施記録を確認する	実施記録確認画面	事務担当者	実施記録を検索・表示して詳細を確認し、請求対象となる記録を整理できる
介護費用を計算する	介護費用計算画面	事務担当者	実施記録に基づいて月別の介護費用を計算でき、計算結果を確認・修正・承認できる
介護費用を請求する	介護費用請求画面	事務担当者	計算された介護費用を確認し、請求内容を検証してから請求を実行でき、請求状況を管理できる
支払い状況を確認する	支払い状況確認画面	事務担当者	決済システムとの連携により支払い回収状況を確認でき、売上集計内容を一覧で確認できる
売上を把握・管理する	売上管理画面	事業所管理者	集計された売上情報を確認し、事業所別の売上実績を把握・分析でき、経営レポートを作成できる
支払い滞納に対応する	支払い滞納対応画面	事務担当者	滞納情報を確認し、回収活動を記録・管理でき、滞納解消までの進捗を追跡できる
