状態モデル	状態	遷移先状態	説明
介護会員状態	start	見込み	介護会員の契約状態を管理する。見込み段階から契約、必要に応じた休止、最終的な解約までのライフサイクルを把握し、適切なサービス提供と契約管理を行うために必要
介護会員状態	見込み	契約中	介護会員の契約状態を管理する。見込み段階から契約、必要に応じた休止、最終的な解約までのライフサイクルを把握し、適切なサービス提供と契約管理を行うために必要
介護会員状態	契約中	休止中	介護会員の契約状態を管理する。見込み段階から契約、必要に応じた休止、最終的な解約までのライフサイクルを把握し、適切なサービス提供と契約管理を行うために必要
介護会員状態	休止中	契約中	介護会員の契約状態を管理する。見込み段階から契約、必要に応じた休止、最終的な解約までのライフサイクルを把握し、適切なサービス提供と契約管理を行うために必要
介護会員状態	契約中	解約済み	介護会員の契約状態を管理する。見込み段階から契約、必要に応じた休止、最終的な解約までのライフサイクルを把握し、適切なサービス提供と契約管理を行うために必要
介護会員状態	休止中	解約済み	介護会員の契約状態を管理する。見込み段階から契約、必要に応じた休止、最終的な解約までのライフサイクルを把握し、適切なサービス提供と契約管理を行うために必要
介護会員状態	解約済み	end	介護会員の契約状態を管理する。見込み段階から契約、必要に応じた休止、最終的な解約までのライフサイクルを把握し、適切なサービス提供と契約管理を行うために必要
訪問介護計画状態	start	計画中	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護計画状態	計画中	承認待ち	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護計画状態	承認待ち	承認済み	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護計画状態	承認待ち	計画中	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護計画状態	承認済み	実施中	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護計画状態	実施中	完了	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護計画状態	実施中	変更中	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
