ビジネスポリシー	説明
各サービススタッフの要望に合わせたスケジュール管理を行う	サービススタッフの多様な働き方に対応し、柔軟性を確保することで人材確保と定着を実現する
訪問介護事業で小規模事業所を複数持つので、そこを一元管理を行う事業所をもつ	複数の小規模事業所を効率的に管理し、リソースの最適配分とコスト削減を実現する
サービススタッフの働き方は出来るだけ自由に設定できる	スタッフの生活スタイルや希望に応じた働き方を認めることで、離職率を下げ安定したサービス提供を行う
サービススタッフのスキル別に出来る仕事を適切に配分する	各スタッフの資格や経験に応じた業務を割り当て、サービス品質を担保しながら法規制に準拠する
介護会員の要望に合わせたスケジュール調整を行う	介護会員の希望する時間帯やサービス内容に対応し、顧客満足度を向上させる
ビジネスパラメータの組合せに柔軟に対応できる業務形態にする	介護施設の分類、スタッフの働き方、会員の状況など多様なパラメータの組み合わせに対応可能な仕組みを構築する
法規制に準拠した介護サービスを提供する	介護保険法等の関連法規を遵守し、適切な報酬請求と事業継続性を確保する
介護費用の適正な請求と回収を行う	正確な費用計算と請求処理により、事業の収益性を維持し健全な経営を実現する
訪問介護の実施記録を確実に管理する	サービス提供の証跡を残すことで、法令遵守と品質管理、トラブル防止を実現する
効率的な訪問ルートとスケジュールを計画する	移動時間とコストを最小化し、限られたスタッフリソースで最大限のサービス提供を実現する
